time,MPFc_1,preMPFc_1,StgPc_1,Wee1c_1,Wee1Pc_1,Stgm_1,Xp_1,Stgc_1,Xm_1,MPFn_1,preMPFn_1,Wee1Pn_1,Wee1n_1,StgPn_1,Stgn_1,FZYa_1,IEa_1_1,N_1,nuclei_1,cytoplasm_1,ksc_1,kdc_1,kdnp_1,kdn_1,kaie_1,kiie_1,kafzy_1,kifzy_1,kweep_1,kwee_1,kstgp_1,kstg_1,ksstg_1,kdstg_1,kastgp_1,kastg_1,kistg_1,kawee_1,kiweep_1,kiwee_1,kt_1,Jaie_1,Jiie_1,Jafzy_1,Jifzy_1,Jastg_1,Jistg_1,Jawee_1,Jiwee_1,Jm_1,kdmp_1,kdm_1,koutw_1_1,kinw_1_1,kouts_1_1,kins_1_1,kez_1_1,factor_1_1,E_1_1,ksxp_1_1,ksxm_1_1,kout_1_1,CycBT_1,StringT_1,Wee1T_1,StgPT_1
121.25,0.8971703045210231,0.0140149891289754,0.770883949066699,0.02257554279456067,0.7934260530677699,0.46183088371375375,0.13765504640174178,0.02295827268482331,7.639382726542107,0.13509987369934975,0.05414129127508716,0.04970242724011821,0.47874534686747855,0.08174789268250084,0.8217452457615845,0.2778104302754579,0.004930768713362864,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.871011046923756,0.8,0.8,0.7325353832186482
121.5,0.895366814984827,0.014031244749582089,0.7701495851655048,0.022639923093951193,0.7929593030298635,0.45819171782982404,0.139577313357325,0.02302533285812034,7.738752918011733,0.14343393260128534,0.06072691301158988,0.05325954780387863,0.482016570118031,0.0829257470930178,0.8318917501347685,0.23097776683723004,0.005385430857913737,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8701535078151028,0.8,0.8,0.7319074291173231
121.75,0.8935717486570517,0.014047474778196204,0.7694194980552441,0.022704326451124687,0.7924937710424903,0.4545340457973736,0.14152442286076825,0.02309222648458083,7.838123109481359,0.1529348400982224,0.06823323365500227,0.05747820329064818,0.48460519643847044,0.08577340967605732,0.8402986941717617,0.18467814319058176,0.00593531425032046,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.869420065415318,0.8,0.8,0.7313764341434125
122.0,0.8917850680819078,0.014063677213015586,0.7686936560506957,0.022768742633024565,0.7920294635105118,0.45085814896265675,0.14349637491207357,0.023158959932468148,7.937493300950985,0.16382242261945495,0.07679977416386442,0.06250934808012328,0.4863603364147922,0.09026495026101583,0.8469924376800873,0.13915269553397341,0.006610409643944884,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8688306791770093,0.8,0.8,0.7309409254307223
122.25,0.8900067372881406,0.014079848753087265,0.7679720413428176,0.022833158207278097,0.7915663900499139,0.4471643258020455,0.14549316951124502,0.023225525849788094,8.036863492420604,0.17636368331718316,0.08657286157305864,0.06855219766837546,0.48708283931623675,0.09647718968929814,0.8518965868092087,0.09487018914034366,0.0074535567396550985,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8684083127252666,0.8,0.8,0.7306051610341985
122.5,0.8882367220356067,0.014095984550883445,0.7672546511674041,0.02289755575610157,0.7911045642738654,0.4434528918236772,0.14751480665828387,0.02329190199470065,8.136233683890225,0.19086409484672473,0.09768220852326209,0.07586539921354127,0.4865141225502101,0.10459442449102932,0.854827269389639,0.052950792814680354,0.008526866454600771,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8681771460374076,0.8,0.8,0.730379393949088
122.75,0.8864749901179717,0.014112077908722345,0.7665414984532163,0.022961913176880986,0.7906440044921003,0.4397241794534595,0.14956128635318994,0.023358050586419533,8.235603875359839,0.20758049712472845,0.1101604548806065,0.08477266860416831,0.4843305345945579,0.11490638491345986,0.8554951769209783,0.017210680894481717,0.00991741719819338,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8681532511447273,0.8,0.8,0.7302797590927819
123.0,0.8847215115492134,0.014128120091408321,0.7658326083311832,0.02302620479657314,0.7901847325964805,0.4359785379117466,0.15163260859596356,0.023423921795067026,8.334974066829465,0.22619823297527655,0.12358897462257544,0.0956174736986102,0.48018867175878327,0.12775134571215813,0.8535624537967653,0.0014316573587321796,0.01171975695324624,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8682957862453143,0.8,0.8,0.7303251042769893
123.25,0.8829762577895462,0.01414410109944701,0.7651279988847755,0.023090409710751353,0.7897267657219152,0.43221633307765817,0.15372877338660365,0.02348947299035606,8.434344258299053,0.24558374750743386,0.13684725768912517,0.10859282599004756,0.47389558651963315,0.143323997119262,0.8488348263522236,0.0007231553901892795,0.013972014000024733,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.8684792822996684,0.8,0.8,0.7305262805660456
123.5,0.881239199635995,0.01416001177761508,0.7644276700331107,0.023154516009303853,0.789270112020625,0.42843794734165913,0.15584978072511183,0.02355467985754723,8.53371444976867,0.2656813375204475,0.14924475784239727,0.12380572034067645,0.46534434778753153,0.16173005625899858,0.8412069914646619,0.0008643011887985491,0.01676134412628033,794.9615317569921,1.0,1.0,0.01,0.01,0.01,1.5,1.0,0.4,1.0,0.2,0.005,1.0,0.2,2.0,0.0,0.0,0.0,1.0,0.3,0.3,0.01,1.0,0.15,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.002,0.2,0.01,0.04,0.02,0.08,0.5,1.95,7e-05,0.001,0.0005,0.0,0.868662176312346,0.8,0.8,0.7308891707568601
